tournament_name,team_a,team_a_score,team_a_player_1,team_a_player_1_tuh,team_a_player_1_powers,team_a_player_1_gets,team_a_player_1_negs,team_a_player_2,team_a_player_2_tuh,team_a_player_2_powers,team_a_player_2_gets,team_a_player_2_negs,team_a_player_3,team_a_player_3_tuh,team_a_player_3_powers,team_a_player_3_gets,team_a_player_3_negs,team_a_player_4,team_a_player_4_tuh,team_a_player_4_powers,team_a_player_4_gets,team_a_player_4_negs,team_b,team_b_score,team_b_player_1,team_b_player_1_tuh,team_b_player_1_powers,team_b_player_1_gets,team_b_player_1_negs,team_b_player_2,team_b_player_2_tuh,team_b_player_2_powers,team_b_player_2_gets,team_b_player_2_negs,team_b_player_3,team_b_player_3_tuh,team_b_player_3_powers,team_b_player_3_gets,team_b_player_3_negs,team_b_player_4,team_b_player_4_tuh,team_b_player_4_powers,team_b_player_4_gets,team_b_player_4_negs
ACF Winter 2023,Toronto F (DII),155,Nathaniel Cutts (DII),20,0,1,0,Kevin He (DII),20,0,4,1,James Xiao (DII),20,0,3,0,Ellen Ge (DII),20,0,0,0,McGill C,115,Uday Bhardwaj (DII),20,0,2,3,Sam Baker,20,0,2,3,Chloe Wei (DII),20,0,3,1,None,0,0,0,0
ACF Winter 2023,Toronto G (UG),310,Joey Sun (UG),20,0,1,0,Benjamin Chapman (UG),20,0,10,2,None,0,0,0,0,None,0,0,0,0,McGill B (UG),190,Max Gross (DII),20,0,1,0,Jet Dong (UG),20,0,6,0,Francis Dinh (UG),20,0,1,0,Devito Stevanus (DII),20,0,0,0
ACF Winter 2023,Western A,435,Olivia Druxerman (UG),20,0,1,0,Nicholas Kwan (UG),20,0,0,0,Ian Chow,20,0,14,0,Beth Kearney (UG),20,0,0,1,Ottawa A,30,Maude-Sophie Lockman,20,0,5,4,Jason Rohfritsch,20,0,0,0,Ian Theysmeyer (UG),20,0,0,0,Aedan Cooper (DII),20,0,0,0
ACF Winter 2023,Queen's A,125,Simon Mezo (DII),20,0,3,0,Lauren MacDonnell (UG),20,0,1,0,Jocelyn Tweedle (UG),20,0,0,1,Charlie Botterell (UG),20,0,3,2,McMaster A (DII),220,Willow Paraskevas (DII),20,0,8,1,Robert McKinnon (DII),20,0,1,1,Lorcan Thorpe (DII),20,0,0,0,Cranmer McGinn (DII),20,0,0,0
ACF Winter 2023,Waterloo C (UG),205,Prabhjot Chopra (DII),20,0,2,0,Jacob Bicol (UG),20,0,5,1,Dawson Teu (DII),20,0,2,0,Adrian O'Leary (DII),20,0,0,0,Toronto E (UG),70,Samuel Zheng (DII),20,0,1,0,Kevin Gan (UG),20,0,1,2,Imtiaz Kidwai (DII),20,0,1,0,Bhanu Mamillapalli (UG),20,0,2,0
ACF Winter 2023,McGill D (UG),150,James Wadsley (DII),20,0,2,1,Gerrit Severeid (UG),20,0,1,1,Asha Basu (DII),20,0,4,2,None,0,0,0,0,Toronto D,210,Martin Profant,20,0,6,0,Ethen Sun,20,0,4,0,None,0,0,0,0,None,0,0,0,0
ACF Winter 2023,Ottawa B,210,Mica Oestreich (UG),20,0,2,0,James Wang,20,0,5,0,David Gayowsky,20,0,0,0,Daniel Vorotynstev (UG),20,0,2,0,Ottawa D,265,Adrian Wong,20,0,10,1,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0
ACF Winter 2023,Waterloo A (UG),550,Michael Du (UG),20,0,3,0,Mattias Ehatamm (UG),20,0,5,1,Liam Kusalik (UG),20,0,5,0,Jared He (UG),20,0,3,1,McGill A (UG),80,Nicolas Edwards (UG),20,0,2,1,Nabhaan Farooqi (UG),20,0,1,0,Henry Olsen (UG),20,0,1,1,Elena Bai (UG),20,0,0,0
ACF Winter 2023,McGill E (UG),60,Stephen Klein (UG),20,0,1,0,Rowan Watchmaker (DII),20,0,1,0,James Ferrabee (DII),20,0,2,0,Charlotte Bauer (DII),20,0,0,0,McGill C,255,Uday Bhardwaj (DII),20,0,0,0,Sam Baker,20,0,8,2,Chloe Wei (DII),20,0,4,3,None,0,0,0,0
ACF Winter 2023,Toronto B (UG),120,Yihong Chen (DII),20,0,2,0,Sarah Khan (UG),20,0,3,0,Franklin Wu (DII),20,0,1,0,None,0,0,0,0,Waterloo B,365,Tomas Jakovac,20,0,1,2,Rayton Lin (UG),20,0,1,0,Micah Colman (DII),20,0,3,1,Caleb Ott (DII),20,0,8,0
ACF Winter 2023,Toronto A,315,Marcus Forbes-Green,20,0,1,1,Kunaal Chandrashekar (DII),20,0,4,0,Jason Zhang (UG),20,0,4,0,Ben Wismath (UG),20,0,4,0,Ottawa C (UG),85,Stefan Vlad (DII),20,0,2,0,Martine Lajeunesse (UG),20,0,0,0,Jesse Chusing (UG),20,0,0,0,Ishan Joshi (UG),20,0,3,3
ACF Winter 2023,Toronto F (DII),60,Nathaniel Cutts (DII),20,0,1,0,Kevin He (DII),20,0,1,0,James Xiao (DII),20,0,1,0,Ellen Ge (DII),20,0,0,0,Carleton A,235,Valerie Brown (DII),20,0,2,0,Stuart Chandler-Baas (DII),20,0,2,0,Stefan Mihai (UG),20,0,1,0,Kevin Anderson,20,0,6,1
ACF Winter 2023,Western A,325,Olivia Druxerman (UG),20,0,0,0,Nicholas Kwan (UG),20,0,0,1,Ian Chow,20,0,13,4,Beth Kearney (UG),20,0,0,0,Toronto E (UG),85,Samuel Zheng (DII),20,0,2,0,Kevin Gan (UG),20,0,2,1,Imtiaz Kidwai (DII),20,0,0,0,Bhanu Mamillapalli (UG),20,0,0,0
ACF Winter 2023,Waterloo C (UG),125,Prabhjot Chopra (DII),20,0,0,1,Jacob Bicol (UG),20,0,3,1,Dawson Teu (DII),20,0,2,0,Adrian O'Leary (DII),20,0,1,1,Ottawa A,230,Maude-Sophie Lockman,20,0,4,1,Jason Rohfritsch,20,0,1,0,Ian Theysmeyer (UG),20,0,3,1,Aedan Cooper (DII),20,0,2,0
ACF Winter 2023,Queen's A,40,Lauren MacDonnell (UG),20,0,0,0,Lael Alva (DII),20,0,0,0,Jocelyn Tweedle (UG),20,0,0,0,Charlie Botterell (UG),20,0,2,0,Toronto G (UG),470,Joey Sun (UG),20,0,2,0,Benjamin Chapman (UG),20,0,14,2,None,0,0,0,0,None,0,0,0,0
ACF Winter 2023,McGill A (UG),315,Nicolas Edwards (UG),20,0,5,1,Nabhaan Farooqi (UG),20,0,1,1,Henry Olsen (UG),20,0,4,1,Elena Bai (UG),20,0,3,0,Toronto D,140,Martin Profant,20,0,3,0,Ethen Sun,20,0,3,2,None,0,0,0,0,None,0,0,0,0
